,shift_size_vec,min_time
1,0.9,11
2,0.85,11
3,0.8,11
4,0.75,11
5,0.7,11
6,0.65,11
7,0.6,11
8,0.55,11
9,0.5,11
10,0.45,11
11,0.4,11
12,0.35,11
13,0.3,11
14,0.25,11
15,0.2,15
16,0.15,80
17,0.1,80
