,approach,number_samples,simulation_number,distance_to_real
232,Random,5,8,11
233,Regular,5,8,9
234,Iterative,5,8,9
235,Random,7,8,3
236,Regular,7,8,9
237,Iterative,7,8,3
238,Random,9,8,20
239,Regular,9,8,9
240,Iterative,9,8,0
241,Random,11,8,5
242,Regular,11,8,9
243,Iterative,11,8,0
244,Random,13,8,3
245,Regular,13,8,1
246,Iterative,13,8,0
247,Random,15,8,1
248,Regular,15,8,2
249,Iterative,15,8,0
250,Random,17,8,5
251,Regular,17,8,3
252,Iterative,17,8,0
253,Random,19,8,2
254,Regular,19,8,4
255,Iterative,19,8,0
256,Random,25,8,2
257,Regular,25,8,1
258,Iterative,25,8,0
259,Random,30,8,2
260,Regular,30,8,1
261,Iterative,30,8,0
262,Random,35,8,1
263,Regular,35,8,1
264,Iterative,35,8,0
265,Random,5,9,33
266,Regular,5,9,12
267,Iterative,5,9,12
268,Random,7,9,23
269,Regular,7,9,4
270,Iterative,7,9,5
271,Random,9,9,12
272,Regular,9,9,0
273,Iterative,9,9,1
274,Random,11,9,6
275,Regular,11,9,7
276,Iterative,11,9,0
277,Random,13,9,7
278,Regular,13,9,4
279,Iterative,13,9,0
280,Random,15,9,2
281,Regular,15,9,2
282,Iterative,15,9,0
283,Random,17,9,4
284,Regular,17,9,0
285,Iterative,17,9,0
286,Random,19,9,1
287,Regular,19,9,4
288,Iterative,19,9,0
289,Random,25,9,4
290,Regular,25,9,0
291,Iterative,25,9,0
292,Random,30,9,3
293,Regular,30,9,3
294,Iterative,30,9,0
295,Random,35,9,3
296,Regular,35,9,2
297,Iterative,35,9,0
298,Random,5,10,5
299,Regular,5,10,20
300,Iterative,5,10,20
301,Random,7,10,25
302,Regular,7,10,12
303,Iterative,7,10,1
304,Random,9,10,11
305,Regular,9,10,8
306,Iterative,9,10,1
307,Random,11,10,18
308,Regular,11,10,5
309,Iterative,11,10,0
310,Random,13,10,9
311,Regular,13,10,4
312,Iterative,13,10,0
313,Random,15,10,0
314,Regular,15,10,3
315,Iterative,15,10,0
316,Random,17,10,10
317,Regular,17,10,2
318,Iterative,17,10,0
319,Random,19,10,4
320,Regular,19,10,1
321,Iterative,19,10,0
322,Random,25,10,0
323,Regular,25,10,0
324,Iterative,25,10,0
325,Random,30,10,2
326,Regular,30,10,1
327,Iterative,30,10,0
328,Random,35,10,1
329,Regular,35,10,1
330,Iterative,35,10,0
331,Random,5,11,40
332,Regular,5,11,21
333,Iterative,5,11,21
334,Random,7,11,8
335,Regular,7,11,13
336,Iterative,7,11,2
337,Random,9,11,1
338,Regular,9,11,9
339,Iterative,9,11,0
340,Random,11,11,20
341,Regular,11,11,6
342,Iterative,11,11,0
343,Random,13,11,8
344,Regular,13,11,5
345,Iterative,13,11,0
346,Random,15,11,1
347,Regular,15,11,4
348,Iterative,15,11,0
349,Random,17,11,6
350,Regular,17,11,3
351,Iterative,17,11,0
352,Random,19,11,16
353,Regular,19,11,2
354,Iterative,19,11,0
355,Random,25,11,9
356,Regular,25,11,1
357,Iterative,25,11,0
358,Random,30,11,3
359,Regular,30,11,2
360,Iterative,30,11,0
361,Random,35,11,3
362,Regular,35,11,2
363,Iterative,35,11,0
364,Random,5,12,19
365,Regular,5,12,23
366,Iterative,5,12,23
367,Random,7,12,0
368,Regular,7,12,15
369,Iterative,7,12,4
370,Random,9,12,22
371,Regular,9,12,11
372,Iterative,9,12,0
373,Random,11,12,2
374,Regular,11,12,8
375,Iterative,11,12,0
376,Random,13,12,19
377,Regular,13,12,7
378,Iterative,13,12,0
379,Random,15,12,4
380,Regular,15,12,6
381,Iterative,15,12,0
382,Random,17,12,3
383,Regular,17,12,5
384,Iterative,17,12,0
385,Random,19,12,0
386,Regular,19,12,4
387,Iterative,19,12,0
388,Random,25,12,4
389,Regular,25,12,3
390,Iterative,25,12,0
391,Random,30,12,1
392,Regular,30,12,0
393,Iterative,30,12,0
394,Random,35,12,3
395,Regular,35,12,1
396,Iterative,35,12,0
397,Random,5,13,4
398,Regular,5,13,12
399,Iterative,5,13,12
400,Random,7,13,27
401,Regular,7,13,4
402,Iterative,7,13,5
403,Random,9,13,2
404,Regular,9,13,0
405,Iterative,9,13,1
406,Random,11,13,3
407,Regular,11,13,7
408,Iterative,11,13,0
409,Random,13,13,21
410,Regular,13,13,4
411,Iterative,13,13,0
412,Random,15,13,13
413,Regular,15,13,2
414,Iterative,15,13,0
415,Random,17,13,3
416,Regular,17,13,0
417,Iterative,17,13,0
418,Random,19,13,7
419,Regular,19,13,4
420,Iterative,19,13,0
421,Random,25,13,1
422,Regular,25,13,0
423,Iterative,25,13,0
424,Random,30,13,3
425,Regular,30,13,3
426,Iterative,30,13,0
427,Random,35,13,5
428,Regular,35,13,2
429,Iterative,35,13,0
430,Random,5,14,6
431,Regular,5,14,20
432,Iterative,5,14,20
433,Random,7,14,36
434,Regular,7,14,12
435,Iterative,7,14,1
436,Random,9,14,4
437,Regular,9,14,8
438,Iterative,9,14,1
439,Random,11,14,14
440,Regular,11,14,5
441,Iterative,11,14,0
442,Random,13,14,11
443,Regular,13,14,4
444,Iterative,13,14,0
445,Random,15,14,3
446,Regular,15,14,3
447,Iterative,15,14,0
448,Random,17,14,0
449,Regular,17,14,2
450,Iterative,17,14,0
451,Random,19,14,7
452,Regular,19,14,1
453,Iterative,19,14,0
454,Random,25,14,2
455,Regular,25,14,0
456,Iterative,25,14,0
457,Random,30,14,9
458,Regular,30,14,1
459,Iterative,30,14,0
460,Random,35,14,2
461,Regular,35,14,1
462,Iterative,35,14,0
463,Random,5,15,12
464,Regular,5,15,7
465,Iterative,5,15,7
466,Random,7,15,19
467,Regular,7,15,7
468,Iterative,7,15,1
469,Random,9,15,3
470,Regular,9,15,7
471,Iterative,9,15,1
472,Random,11,15,15
473,Regular,11,15,7
474,Iterative,11,15,1
475,Random,13,15,8
476,Regular,13,15,7
477,Iterative,13,15,1
478,Random,15,15,1
479,Regular,15,15,7
480,Iterative,15,15,1
481,Random,17,15,2
482,Regular,17,15,1
483,Iterative,17,15,1
484,Random,19,15,8
485,Regular,19,15,2
486,Iterative,19,15,1
487,Random,25,15,2
488,Regular,25,15,3
489,Iterative,25,15,1
490,Random,30,15,4
491,Regular,30,15,2
492,Iterative,30,15,1
493,Random,35,15,5
494,Regular,35,15,2
495,Iterative,35,15,1
496,Random,5,16,21
497,Regular,5,16,5
498,Iterative,5,16,5
499,Random,7,16,7
500,Regular,7,16,5
501,Iterative,7,16,5
502,Random,9,16,6
503,Regular,9,16,5
504,Iterative,9,16,1
505,Random,11,16,1
506,Regular,11,16,5
507,Iterative,11,16,0
508,Random,13,16,2
509,Regular,13,16,5
510,Iterative,13,16,0
511,Random,15,16,30
512,Regular,15,16,5
513,Iterative,15,16,0
514,Random,17,16,0
515,Regular,17,16,5
516,Iterative,17,16,0
517,Random,19,16,0
518,Regular,19,16,0
519,Iterative,19,16,0
520,Random,25,16,0
521,Regular,25,16,1
522,Iterative,25,16,0
523,Random,30,16,1
524,Regular,30,16,0
525,Iterative,30,16,0
526,Random,35,16,1
527,Regular,35,16,0
528,Iterative,35,16,0
529,Random,5,17,19
530,Regular,5,17,23
531,Iterative,5,17,23
532,Random,7,17,38
533,Regular,7,17,15
534,Iterative,7,17,4
535,Random,9,17,2
536,Regular,9,17,11
537,Iterative,9,17,0
538,Random,11,17,26
539,Regular,11,17,8
540,Iterative,11,17,0
541,Random,13,17,4
542,Regular,13,17,7
543,Iterative,13,17,0
