"method"	"final_n"	"changepoint"	"total_number_found"	"diff_real"	"method_f"	"n2_init"	"target_cpt"
"96"	"Regular"	25	10	"7"	2	"Regular"	5	"1"
"97"	"Random"	25	11	"5"	3	"Random"	5	"1"
"98"	"Iterative"	9	8	"3"	0	"Iterative"	5	"1"
"99"	"Iterative"	10	7	"5"	-1	"Iterative"	6	"1"
"100"	"Iterative"	14	8	"5"	0	"Iterative"	7	"1"
"101"	"Regular"	26	7	"6"	-1	"Regular"	5	"1"
"102"	"Random"	26	12	"9"	4	"Random"	5	"1"
"103"	"Iterative"	9	8	"3"	0	"Iterative"	5	"1"
"104"	"Iterative"	10	7	"5"	-1	"Iterative"	6	"1"
"105"	"Iterative"	14	8	"5"	0	"Iterative"	7	"1"
"106"	"Regular"	27	7	"8"	-1	"Regular"	5	"1"
"107"	"Random"	27	10	"6"	2	"Random"	5	"1"
"108"	"Iterative"	9	8	"3"	0	"Iterative"	5	"1"
"109"	"Iterative"	10	7	"5"	-1	"Iterative"	6	"1"
"110"	"Iterative"	14	8	"7"	0	"Iterative"	7	"1"
"111"	"Regular"	28	9	"4"	1	"Regular"	5	"1"
"112"	"Random"	28	7	"11"	-1	"Random"	5	"1"
"113"	"Iterative"	9	8	"3"	0	"Iterative"	5	"1"
"114"	"Iterative"	10	7	"5"	-1	"Iterative"	6	"1"
"115"	"Iterative"	14	8	"5"	0	"Iterative"	7	"1"
"116"	"Regular"	29	9	"11"	1	"Regular"	5	"1"
"117"	"Random"	29	18	"8"	10	"Random"	5	"1"
"118"	"Iterative"	9	8	"3"	0	"Iterative"	5	"1"
"119"	"Iterative"	10	7	"5"	-1	"Iterative"	6	"1"
"120"	"Iterative"	14	8	"5"	0	"Iterative"	7	"1"
"121"	"Regular"	30	9	"10"	1	"Regular"	5	"1"
"122"	"Random"	30	8	"3"	0	"Random"	5	"1"
"123"	"Iterative"	9	8	"3"	0	"Iterative"	5	"1"
"124"	"Iterative"	10	7	"5"	-1	"Iterative"	6	"1"
